zipcode,town,ecc,violentcrime_quintile,zviolentcrimeflip,education_percentile_quintile,education_percentile_previous,max_rent_0br,max_rent_1br,max_rent_2br,max_rent_3br,max_rent_4br,max_rent_5br,max_rent_6br
1754,MAYNARD,,4,0.0705789,3,48,1217,1337,1618,2038,2179,2508,2892
2052,MEDFIELD,1,,,1,85,1147,1257,1528,1918,2049,2358,2720
2155,MEDFORD,,3,0.4138809,4,40,1657,1827,2218,2788,2989,3439,3963
2053,MEDWAY,1,1,0.9568368,1,81,1295,1420,1722,2166,2314,2663,3071
2176,MELROSE,1,2,0.7144078,2,75,1257,1377,1678,2108,2259,2600,2998
1756,MENDON,1,2,0.7109127,2,78,1017,1127,1378,1738,2089,2404,2773
1844,METHUEN,,3,0.3768744,3,48,827,927,1188,1498,1599,1841,2125
2346,MIDDLEBOROUGH,,4,-0.259638,5,29,1130,1255,1535,1935,2083,2397,2765
1949,MIDDLETON,1,2,0.5783665,1,84,2097,2327,2828,3548,3809,4382,5048
1757,MILFORD,,3,0.2128484,4,44,837,807,1078,1388,1719,1979,2284
2054,MILLIS,1,,,2,69,1517,1677,2038,2558,2739,3152,3633
2186,MILTON,1,1,0.8432776,1,80,1487,1637,1988,2498,2679,3083,3553
1908,NAHANT,1,4,0.1807277,2,72,1327,1457,1768,2228,2379,2738,3157
1760,NATICK,1,3,0.5112468,1,82,1407,1547,1878,2358,2529,2910,3355
2492,NEEDHAM,1,1,0.9166134,1,81,1537,1697,2058,2588,2769,3186,3672
2494,NEEDHAM,1,,,1,81,2037,2247,2738,3438,3689,4244,4889
2745,NEW BEDFORD,,5,-0.8418014,5,22,647,647,768,968,1029,1185,1371
2744,NEW BEDFORD,,5,-0.8418014,5,22,567,557,658,828,879,1013,1173
2746,NEW BEDFORD,,5,-0.8418014,5,22,547,537,638,808,849,978,1133
2740,NEW BEDFORD,,5,-0.8418014,5,22,627,617,738,938,989,1139,1318
1951,NEWBURY,,2,0.6496826,3,56,1447,1597,1938,2438,2609,3002,3461
1950,NEWBURYPORT,1,2,0.542146,2,71,1339,1475,1788,2254,2402,2764,3187
2461,NEWTON,1,1,0.7819991,1,85,1987,2207,2678,3368,3609,4152,4783
2468,NEWTON,1,,,1,85,2297,2547,3098,3888,4179,4808,5537
2464,NEWTON,1,1,0.7819991,1,,,,,,,,
2466,NEWTON,1,1,0.7811767,1,85,1847,2037,2478,3118,3339,3842,4426
2458,NEWTON,1,1,0.7819991,1,85,1817,2017,2448,3078,3299,3796,4373
2460,NEWTON,1,1,0.7819991,1,,,,,,,,
2459,NEWTON,1,1,0.7819991,1,85,2067,2297,2788,3498,3759,4325,4982
2462,NEWTON,1,1,0.7819991,1,,,,,,,,
2465,NEWTON,1,1,0.7819991,1,85,1837,2027,2468,3098,3329,3830,4413
2056,NORFOLK,1,1,0.9502579,1,91,1387,1527,1858,2338,2499,2876,3315
1845,NORTH ANDOVER,1,1,0.7758434,2,70,1047,1177,1518,1908,2039,2347,2707
2760,NORTH ATTLEBORO,1,2,0.6319896,2,69,737,807,948,1198,1409,1622,1874
1864,NORTH READING,1,2,0.6113216,2,78,1537,1697,2058,2588,2769,3186,3672
2766,NORTON,,1,0.849409,3,58,847,997,1278,1608,1759,2025,2337
2061,NORWELL,1,1,0.8024495,1,81,1257,1377,1678,2108,2259,2600,2998
2062,NORWOOD,,2,0.6208998,3,53,1457,1607,1948,2448,2619,3014,3474
2558,ONSET,,,,5,29,1141,1255,1535,1935,2083,2397,2765
1960,PEABODY,,4,-0.1728661,4,38,1347,1477,1798,2258,2419,2784,3210
2359,PEMBROKE,,2,0.6809205,3,58,1657,1827,2218,2788,2989,3439,3963
2762,PLAINVILLE,1,2,0.5907503,2,74,1237,1357,1648,2078,2219,2554,2945
2360,PLYMOUTH,,3,0.2598079,4,41,1437,1577,1918,2408,2579,2968,3421
2367,PLYMPTON,1,1,0.8070208,2,69,1017,1127,1378,1738,1989,2289,2641
2169,QUINCY,,4,-0.4955001,3,58,1547,1697,2068,2598,2779,3198,3686
2171,QUINCY,,4,-0.4955001,3,58,1467,1607,1958,2458,2639,3037,3500
2170,QUINCY,,4,-0.4955001,3,58,1297,1427,1738,2188,2339,2692,3104
2368,RANDOLPH,,4,-0.2351725,4,33,1507,1657,2018,2538,2719,3129,3606
1867,READING,1,1,0.893962,2,67,1297,1427,1738,2188,2339,2692,3104
2769,REHOBOTH,,2,0.5894926,3,58,787,867,1028,1298,1529,1760,2033
2151,REVERE,,5,-0.7872954,3,47,1347,1477,1798,2258,2419,2784,3210
2770,ROCHESTER,1,3,0.4655207,1,80,1157,1257,1638,2068,2399,2761,3183
2370,ROCKLAND,,,,5,31,1277,1407,1708,2148,2299,2646,3051
1966,ROCKPORT,,2,0.6767119,3,52,1117,1227,1488,1868,1999,2301,2654
2131,ROSLINDALE,1,2,0.6332716,5,30,1477,1627,1978,2488,2659,3060,3527
1969,ROWLEY,,2,0.7447628,3,56,1637,1807,2198,2758,2959,3405,3924
2119,ROXBURY,,5,-0.7254243,4,45,1262,1387,1689,2122,2270,2612,3012
2120,ROXBURY CROSSING,,4,-0.1505654,5,27,1587,1747,2128,2678,2869,3301,3805
1970,SALEM,,4,-0.0326162,5,30,1257,1377,1678,2108,2259,2600,2998
1952,SALISBURY,,4,-0.2426101,3,56,1217,1337,1628,2048,2189,2519,2905
1906,SAUGUS,,4,0.0030842,4,40,1377,1517,1838,2308,2469,2841,3276
2066,SCITUATE,1,,,2,71,1197,1317,1598,2008,2149,2473,2852
2771,SEEKONK,,3,0.3659538,2,65,997,1107,1308,1648,1939,2232,2575
2067,SHARON,1,1,0.819441,1,90,1947,2157,2618,3288,3529,4060,4678
1770,SHERBORN,1,2,0.7308793,1,94,1237,1357,1648,2078,2219,2554,2945
2725,SOMERSET,,3,0.2424294,3,52,867,957,1128,1418,1679,1933,2231
2726,SOMERSET,,3,0.2424294,3,52,697,757,898,1138,1339,1542,1781
2144,SOMERVILLE,,4,0.1296926,2,62,1797,1987,2418,3038,3259,3750,4320
2145,SOMERVILLE,,4,0.1296926,2,62,1567,1727,2098,2638,2829,3255,3752
2143,SOMERVILLE,,4,0.1296926,2,62,1747,1927,2348,2948,3159,3635,4188
2190,SOUTH WEYMOUTH,,,,4,40,1297,1427,1728,2178,2329,2680,3091
1772,SOUTHBOROUGH,1,1,0.7704981,1,83,1097,1067,1418,1828,2249,2588,2985
2180,STONEHAM,,3,0.4570552,2,59,1437,1577,1918,2408,2579,2968,3421
2072,STOUGHTON,,4,-0.0480234,3,48,1267,1387,1688,2128,2269,2611,3011
1775,STOW,1,2,0.6064721,1,81,1677,1847,2248,2828,3029,3485,4016
1776,SUDBURY,1,1,0.8842145,1,92,1027,1127,1388,1748,1879,2163,2495
1907,SWAMPSCOTT,1,2,0.6603855,2,74,1437,1577,1918,2408,2579,2968,3421
2777,SWANSEA,,3,0.4063224,3,54,637,697,878,1118,1249,1438,1662
2780,TAUNTON,,4,-0.3295391,4,37,827,817,1098,1638,1659,1910,2204
1876,TEWKSBURY,,4,0.1091696,3,59,1297,1467,1888,2378,2539,2922,3368
1983,TOPSFIELD,1,1,0.8277131,1,81,1197,1317,1598,2008,2149,2473,2852
1469,TOWNSEND,,2,0.5814503,3,49,1017,1127,1378,1738,1869,2151,2482
1880,WAKEFIELD,,3,0.3061871,2,62,1327,1467,1778,2238,2389,2749,3170
2081,WALPOLE,1,3,0.3158015,2,75,1497,1657,2008,2528,2699,3106,3580
2453,WALTHAM,,3,0.424741,3,49,1547,1697,2068,2598,2779,3198,3686
2452,WALTHAM,,3,0.424741,3,49,1767,1947,2368,2978,3189,3669,4228
2451,WALTHAM,,3,0.424741,3,49,1717,1897,2308,2898,3109,3577,4122
2571,WAREHAM,,5,-0.9260094,5,29,1306,1431,1744,2199,2347,2701,3114
2472,WATERTOWN,,2,0.6441317,3,47,1757,1937,2358,2958,3179,3658,4215
1778,WAYLAND,1,1,0.9408611,1,90,1467,1607,1958,2458,2639,3037,3500
2481,WELLESLEY,1,,,1,85,2297,2547,3098,3888,4179,4808,5537
2482,WELLESLEY,1,1,0.862712,1,85,2147,2377,2888,3628,3889,4474,5154
1984,WENHAM,1,1,0.8252218,2,76,1197,1317,1598,2008,2149,2473,2852
2379,WEST BRIDGEWATER,,3,0.1968969,3,56,937,1007,1318,1668,1939,2232,2575
1985,WEST NEWBURY,,2,0.7515473,3,57,1157,1307,1678,2108,2259,2600,2998
2132,WEST ROXBURY,1,1,0.867876,4,42,1587,1747,2128,2678,2869,3301,3805
1886,WESTFORD,1,1,0.7761821,1,89,1317,1487,1918,2408,2579,2968,3421
2493,WESTON,1,1,0.8620348,1,87,1587,1747,2128,2678,2869,3301,3805
2790,WESTPORT,,3,0.5223608,4,42,677,747,878,1108,1309,1507,1742
2090,WESTWOOD,1,2,0.6347954,1,91,1597,1757,2138,2688,2879,3313,3818
2188,WEYMOUTH,,4,-0.0324348,4,40,1287,1417,1718,2158,2309,2657,3064
2191,WEYMOUTH,,,,4,40,1417,1567,1898,2388,2559,2945,3395
2382,WHITMAN,,3,0.2071281,3,46,887,957,1248,1578,1829,2105,2429
1887,WILMINGTON,,3,0.4391687,2,65,1807,1997,2428,3048,3269,3761,4334
1890,WINCHESTER,1,1,0.9100223,1,95,1737,1917,2328,2928,3139,3612,4162
2152,WINTHROP,,4,-0.3107577,3,51,1387,1517,1848,2328,2489,2864,3302
1801,WOBURN,,3,0.2965242,4,45,1547,1697,2068,2598,2779,3198,3686
2093,WRENTHAM,1,1,0.7933308,1,87,1187,1297,1578,1988,2119,2439,2813
