town,zipcode,ecc,violentcrime_quintile,education_percentile_quintile,education_percentile,school_choice,total_mapc,house_number_symbol,lat_lon_category,lat,lon,town_website_description,town_link,wikipedia,wikipedia_link,street,school,town_square,open_space_or_landmark,crime_percentile,max_rent_0br,max_rent_1br,max_rent_2br,max_rent_3br,max_rent_4br,max_rent_5br,max_rent_6br,town_area,x,y,school_thumbnail,school_license,school_license_url,school_description,school_artist,school_username,open_space_or_landmark_thumbnail,open_space_or_landmark_license,open_space_or_landmark_license_url,open_space_or_landmark_description,open_space_or_landmark_artist,open_space_or_landmark_username,street_thumbnail,street_license,street_license_url,street_description,street_artist,street_username,town_square_thumbnail,town_square_license,town_square_license_url,town_square_description,town_square_artist,town_square_username
Sherborn,01770,1,2,1,98,0,10,1,2,42.2611,-71.3857,"Sherborn is a town in Middlesex County, Massachusetts. Sherborn is a small, semi-rural town (pop. 4,500) located about 18 miles west of Boston. The MBTA Commuter Rail's Framingham/Worcester Line train stops at Southborough Station, which opened to commuters on June 22, 2002. The station is located in the Cordaville neighborhood, on Route 85 near the border with Hopkinton. As of October 2007, ten daily round-trip trains provide service to Boston via the Back Bay and South Station terminals. Sherborn shares its highly ranked public school system with the town of Dover. In addition to Dover, Sherborn is bordered by the towns of Natick, Framingham, Ashland, Millis, Holliston, and Medfield. Primarily a farming community until the early part of this century, it now is a bedroom town for Boston and the surrounding hi-tech area.",https://www.sherbornma.org/,"Sherborn is a town in Middlesex County, Massachusetts, United States. It is in area code 508 and has the ZIP code 01770. The MBTA Commuter Rail's Framingham/Worcester Line train stops at Southborough Station, which opened to commuters on June 22, 2002. The station is located in the Cordaville neighborhood, on Route 85 near the border with Hopkinton. As of October 2007, ten daily round-trip trains provide service to Boston via the Back Bay and South Station terminals. [1] Sherborn shares its highly ranked public school system with the town of Dover. In addition to Dover, Sherborn is bordered by the towns of Natick, Framingham, Ashland, Millis, Holliston, and Medfield. Sherborn is a small, semi-rural town (pop. 4,500) located about 18 miles west of Boston. Primarily a farming community until the early part of this century, it now is a bedroom town for Boston and the surrounding hi-tech area.","https://en.wikipedia.org/wiki/Sherborn,_Massachusetts","https://en.wikipedia.org/wiki/Sherborn,_Massachusetts#/media/File:Sherborn_Center.jpg",https://www.doversherborn.org/page.cfm?p=1160,"https://commons.wikimedia.org/wiki/File:Sawin-Bullen-Bullard_House,_Sherborn_MA.jpg","https://en.wikipedia.org/wiki/Sherborn_Library#/media/File:Sherborn_Library,_Sherborn_MA.jpg",69,1675,1850,2250,2800,3000,3450,3900,,-71.3857,42.2611,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Sherborn_Library%2C_Sherborn_MA.jpg/120px-Sherborn_Library%2C_Sherborn_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Sherborn Library, Sherborn MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Sherborn_Center.jpg/120px-Sherborn_Center.jpg,Public domain,,Sherborn Center,"<a href=""//commons.wikimedia.org/wiki/User:Marcbela"" title=""User:Marcbela"">Marcbela</a> (Marc N. Belanger)",Marcbela,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Sawin-Bullen-Bullard_House%2C_Sherborn_MA.jpg/120px-Sawin-Bullen-Bullard_House%2C_Sherborn_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Sawin-Bullen-Bullard House, Sherborn MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
Southborough,01772,1,2,1,96,0,52,2,1,42.3011,-71.5302,"Southborough is a town in Worcester County, Massachusetts. It incorporates the smaller villages of Cordaville, Fayville, and Southville. Its name is often informally shortened to Southboro, a usage seen on many area signs and maps, though officially rejected by town ordinance. Its population was 9,767 at the 2010 census. Southborough was named Number 31 in the nation on CNN Money's ""100 Best Places to Live"" in 2009. Southborough has six public schools. The four elementary and middle schools are inside town limits; the two high schools are regional schools in adjoining towns. The MBTA Commuter Rail's Framingham/Worcester Line train stops at Southborough Station, which opened to commuters on June 22, 2002. The station is located in the Cordaville neighborhood, on Route 85 near the border with Hopkinton. As of October 2007, ten daily round-trip trains provide service to Boston via the Back Bay and South Station terminals. Southborough has six public schools. The four elementary and middle schools are inside town limits; the two high schools are regional schools in adjoining towns.",https://www.southboroughtown.com/,"in 2009. The MBTA Commuter Rail's Framingham/Worcester Line train stops at Southborough Station, which opened to commuters on June 22, 2002. The station is located in the Cordaville neighborhood, on Route 85 near the border with Hopkinton. As of October 2007, ten daily round-trip trains provide service to Boston via the Back Bay and South Station terminals. Southborough has six public schools. The four elementary and middle schools are inside town limits; the two high schools are regional schools in adjoining towns.","https://en.wikipedia.org/wiki/Southborough,_Massachusetts","https://commons.wikimedia.org/wiki/File:Town_House_and_Congregational_Church,_Southborough_MA.jpg","https://en.wikipedia.org/wiki/Algonquin_Regional_High_School#/media/File:Algonquin_Regional_High_School,_Northborough_MA.jpg",https://es.m.wikipedia.org/wiki/Archivo:Center_of_Southborough_Massachusetts.jpg,"https://en.wikipedia.org/wiki/Callahan_State_Park#/media/File:Eagle_Pond,_Callahan_State_Park,_Framingham_MA.jpg",66,1200,1175,1550,2000,2450,2800,3175,,-71.5302,42.3011,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Algonquin_Regional_High_School%2C_Northborough_MA.jpg/120px-Algonquin_Regional_High_School%2C_Northborough_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Algonquin Regional High School, Northborough MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Eagle_Pond%2C_Callahan_State_Park%2C_Framingham_MA.jpg/120px-Eagle_Pond%2C_Callahan_State_Park%2C_Framingham_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Eagle Pond, Callahan State Park, Framingham MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Town_House_and_Congregational_Church%2C_Southborough_MA.jpg/120px-Town_House_and_Congregational_Church%2C_Southborough_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Town House and Congregational Church, Southborough MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Center_of_Southborough_Massachusetts.jpg/120px-Center_of_Southborough_Massachusetts.jpg,CC-BY-SA-3.0,http://creativecommons.org/licenses/by-sa/3.0/,Center of Southborough Massachusetts,"<a href=""//commons.wikimedia.org/w/index.php?title=Template:Sfoskett~commonswiki&amp;action=edit&amp;redlink=1"" class=""new"" title=""Template:Sfoskett~commonswiki (page does not exist)"">Template:Sfoskett~commonswiki</a>",Sfoskett~commonswiki
Lincoln,01773,1,1,2,77,0,29,2,1,42.4252,-71.3098,"The Town of Lincoln is a rural suburb located approximately 12 miles west of Boston. The community places a high value on public education, open space, diversity and community involvement. The Lincoln School Committee is responsible for preschool to grade 8 educational programs at the Lincoln School which serves approximately 665 students. Lincoln School is one of the initial member schools in the METCO Program, a voluntary desegregation program that provides an opportunity for students from Boston to enroll in suburban school districts. In addition to the Lincoln School, the district operates the Primary and Middle Schools at Hanscom Air Force Base through a contract with the federal government. Approximately 580 students attend the Hanscom Schools. Lincoln has a long tradition of educational excellence and strives to offer-innovative student-centered instruction in an inclusive setting with small class sizes. Commuter rail service from Boston's North Station is provided by the MBTA with a stop in Lincoln on its Fitchburg Line.",https://www.lincnet.org/Page/265,"The Town of Lincoln is a rural suburb located approximately 12 miles west of Boston. The community places a high value on public education, open space, diversity and community involvement. The Lincoln School Committee is responsible for preschool to grade 8 educational programs at the Lincoln School which serves approximately 665 students. Lincoln School is one of the initial member schools in the METCO Program, a voluntary desegregation program that provides an opportunity for students from Boston to enroll in suburban school districts. Currently 91 students from Boston attend the Lincoln School. In addition to the Lincoln School, the district operates the Primary and Middle Schools at Hanscom Air Force Base through a contract with the federal government. Approximately 580 students attend the Hanscom Schools. Lincoln has a long tradition of educational excellence and strives to offer-innovative student-centered instruction in an inclusive setting with small class sizes. Commuter rail service from Boston's North Station is provided by the MBTA with a stop in Lincoln on its Fitchburg Line","https://en.wikipedia.org/wiki/Lincoln,_Massachusetts","https://en.wikipedia.org/wiki/Daniel_Brooks_House#/media/File:Daniel_Brooks_House,_Lincoln_MA.jpg",,,"https://commons.wikimedia.org/wiki/File:Paul_Revere_Capture_Site,_Lincoln_MA.jpg",97,1875,2050,2500,3100,3350,3825,4350,,-71.3098,42.4252,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Paul_Revere_Capture_Site%2C_Lincoln_MA.jpg/120px-Paul_Revere_Capture_Site%2C_Lincoln_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Paul Revere Capture Site, Lincoln MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Daniel_Brooks_House%2C_Lincoln_MA.jpg/120px-Daniel_Brooks_House%2C_Lincoln_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Daniel Brooks House, Lincoln MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,,,,,,
Stow,01775,1,2,1,92,0,17,1,5,42.4298,-71.5114,"Stow is a town in Middlesex County, Massachusetts. The town is located 21 miles west of Boston, in the MetroWest region of Massachusetts. The population was 6,590 at the 2010 census. Stow is a member of the Nashoba Regional School District, also serving the towns of Lancaster and Bolton. Stow is home to The Center School (PK-5), Hale Middle School (6-8), and Nashoba Regional High School (9-12).",https://www.stow-ma.gov/,"Stow is a town in Middlesex County, Massachusetts, United States. The town is located 21 miles west of Boston, in the MetroWest region of Massachusetts. The population was 6,590 at the 2010 census. Stow was officially incorporated in 1683 with an area of approximately 40 square miles. Stow is a member of the Nashoba Regional School District, also serving the towns of Lancaster and Bolton. Stow is home to The Center School (PK-5), Hale Middle School (6-8), and Nashoba Regional High School (9-12).","https://en.wikipedia.org/wiki/Stow,_Massachusetts",https://commons.wikimedia.org/wiki/File:Stow_MA_town_center.jpg,"https://commons.wikimedia.org/wiki/File:The_Center_School,_Stow_MA.jpg",https://commons.wikimedia.org/wiki/File:Stow_MA_Town_Hall.jpg,"https://commons.wikimedia.org/wiki/File:Randall_Library,_Stow_MA.jpg",78,1750,1925,2350,2925,3150,3600,4075,,-71.5114,42.4298,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/The_Center_School%2C_Stow_MA.jpg/120px-The_Center_School%2C_Stow_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"The Center School, Stow MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Randall_Library%2C_Stow_MA.jpg/120px-Randall_Library%2C_Stow_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Randall Library, Stow MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Stow_MA_town_center.jpg/120px-Stow_MA_town_center.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Stow MA town center,"<a href=""//commons.wikimedia.org/wiki/User:Tim_Pierce"" title=""User:Tim Pierce"">Tim Pierce</a>",Tim Pierce,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Stow_MA_Town_Hall.jpg/120px-Stow_MA_Town_Hall.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Stow MA Town Hall,"<a href=""//commons.wikimedia.org/wiki/User:Tim_Pierce"" title=""User:Tim Pierce"">Tim Pierce</a>",Tim Pierce
Sudbury,01776,1,1,1,96,0,51,2,5,42.3846,-71.4238,"Sudbury is a town in Middlesex County, Massachusetts. With the exception of specialized transportation provided by the Council on Aging, Sudbury is currently car-dependent. Sudbury students in kindergarten through eighth grade attend Sudbury Public Schools, while high school students attend schools in the Lincoln-Sudbury Regional School District, which was established in 1954, integrating the former Sudbury High School with that of the nearby town of Lincoln, Massachusetts. In 2011, Boston magazine ranked Sudbury's school system 4th in the state, in both of its categories (classroom/academics & Testing/Achievement scores). In subsequent (as well as many prior years) Sudbury is perennially ranked as a 'Top 20' Massachusetts school system.","https://en.wikipedia.org/wiki/Sudbury,_Massachusetts","Sudbury is a town in Middlesex County, Massachusetts, United States. With the exception of specialized transportation provided by the Council on Aging, Sudbury is currently car-dependent. Sudbury students in kindergarten through eighth grade attend Sudbury Public Schools, while high school students attend schools in the Lincoln-Sudbury Regional School District, which was established in 1954, integrating the former Sudbury High School with that of the nearby town of Lincoln, Massachusetts. In 2011, Boston magazine ranked Sudbury's school system 4th in the state, in both of its categories(classroom/academics & Testing/Achievement scores). In subsequent (as well as many prior years) Sudbury is perennially ranked as a 'Top 20' Massachusetts school system.","https://en.wikipedia.org/wiki/Sudbury,_Massachusetts","https://commons.wikimedia.org/wiki/File:Loring_Parsonage,_Sudbury_MA.jpg","https://commons.wikimedia.org/wiki/File:Lincoln-Sudbury_Regional_High_School,_Sudbury_MA.jpg","https://commons.wikimedia.org/wiki/File:Goodnow_Library,_South_Sudbury_MA.jpg","https://commons.wikimedia.org/wiki/File:Sudbury_Town_Hall,_Sudbury_MA.jpg",85,1750,1925,2350,2925,3125,3600,4075,,-71.4238,42.3846,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Lincoln-Sudbury_Regional_High_School%2C_Sudbury_MA.jpg/120px-Lincoln-Sudbury_Regional_High_School%2C_Sudbury_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Lincoln-Sudbury Regional High School, Sudbury MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Sudbury_Town_Hall%2C_Sudbury_MA.jpg/120px-Sudbury_Town_Hall%2C_Sudbury_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Sudbury Town Hall, Sudbury MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Loring_Parsonage%2C_Sudbury_MA.jpg/120px-Loring_Parsonage%2C_Sudbury_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Loring Parsonage, Sudbury MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Goodnow_Library%2C_South_Sudbury_MA.jpg/120px-Goodnow_Library%2C_South_Sudbury_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Goodnow Library, South Sudbury MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
Wayland,01778,1,1,1,97,0,99,2,2,42.3299,-71.3617,"Wayland is a town in Middlesex County, Massachusetts. The population was 13,444 at the 2010 census. Wayland is a peaceful community located in the MetroWest area of Massachusetts, situated at the halfway point between Boston and Worcester. While Wayland is located in an area that provides easily accessible shopping, sightseeing, dining and entertainment, the town itself remains a quiet bedroom community in a semi-rural setting with little industrial or commercial base. Wayland is the home to many urban professionals due in part to its peaceful setting and its close proximity to the city of Boston. In addition, Wayland is an ideal community to raise a family, as its school system is known as one of the finest in the state. Wayland also takes great pride in its preservation of the forests, marshes and fields that surround the Sudbury River. These natural resources provide residents an opportunity to enjoy these areas for passive recreation.",https://www.wayland.ma.us/about-us,"Wayland is a peaceful community located in the MetroWest area of Massachusetts, situated at the halfway point between Boston and Worcester. While Wayland is located in an area that provides easily accessible shopping, sightseeing, dining and entertainment, the town itself remains a quiet bedroom community in a semi-rural setting with little industrial or commercial base. Wayland is the home to many urban professionals due in part to its peaceful setting and its close proximity to the city of Boston. In addition, Wayland is an ideal community to raise a family, as its school system is known as one of the finest in the state. Wayland also takes great pride in its preservation of the forests, marshes and fields that surround the Sudbury River. These natural resources provide residents an opportunity to enjoy these areas for passive recreation.","https://en.wikipedia.org/wiki/Wayland,_Massachusetts","https://commons.wikimedia.org/wiki/File:Old_Connecticut_Path,_Wayland_MA.jpg","https://en.wikipedia.org/wiki/Wayland_High_School#/media/File:Wayland_High_School,_Wayland_MA.jpg",https://commons.wikimedia.org/wiki/File:Wayland_MA_Town_Center_Aerial.jpg,"https://en.wikipedia.org/wiki/File:Old_Town_Bridge_(Wayland,_Massachusetts)_-_DSC00505.JPG",99,1675,1850,2250,2800,3000,3450,3900,,-71.3617,42.3299,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Wayland_High_School%2C_Wayland_MA.jpg/120px-Wayland_High_School%2C_Wayland_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Wayland High School, Wayland MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Old_Town_Bridge_%28Wayland%2C_Massachusetts%29_-_DSC00505.JPG/120px-Old_Town_Bridge_%28Wayland%2C_Massachusetts%29_-_DSC00505.JPG,Public domain,,"Old Town Bridge (Wayland, Massachusetts) - DSC00505",Daderot,Daderot,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Old_Connecticut_Path%2C_Wayland_MA.jpg/120px-Old_Connecticut_Path%2C_Wayland_MA.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Old Connecticut Path, Wayland MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Wayland_MA_Town_Center_Aerial.jpg/120px-Wayland_MA_Town_Center_Aerial.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Wayland MA Town Center Aerial,"<a href=""//commons.wikimedia.org/wiki/User:Nickknack00"" title=""User:Nickknack00"">Nick Allen</a>",Nickknack00
Woburn,01801,0,3,3,44,0,2467,5,1,42.4868,-71.1543,"Woburn is a city in Middlesex County, Massachusetts. The population was 38,120 at the 2010 census. Woburn is located 9 miles  north of Boston, Massachusetts. Woburn's public elementary schools are the Goodyear Elementary, Altavesta Elementary, Shamrock Elementary, Malcolm White Elementary, Clyde Reeves Elementary, Linscott-Rumford Elementary, and Hurld-Wyman Elementary. The two middle schools are the John F. Kennedy Middle School and the Daniel L. Joyce Middle School. Anderson Regional Transportation Center is a transit hub, with Amtrak service to Portland, Maine and MBTA Commuter Rail service to Boston's North Station and Lowell, Massachusetts, as well as bus service to Logan International Airport and Manchester-Boston Regional Airport. Mishawum is a stop on the MBTA Commuter Rail's Lowell Line that currently has only limited reverse rush hour service. MBTA Bus routes also run through Woburn along its main roads, such as Main Street, Montvale Ave., Lexington Street and Cambridge Road. The routes run north to Burlington and Wilmington and south to Boston.",https://www.woburnma.gov/,,"https://en.wikipedia.org/wiki/Woburn,_Massachusetts",,"https://commons.wikimedia.org/wiki/File:Woburn_Memorial_High_School,_Woburn_MA.jpg",,"https://commons.wikimedia.org/wiki/File:Kiwanis_Park_-_Woburn,_MA_-_DSC04133.JPG",56,1650,1800,2200,2725,2925,3350,3825,,-71.1543,42.4868,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Woburn_Memorial_High_School%2C_Woburn_MA.jpg/120px-Woburn_Memorial_High_School%2C_Woburn_MA.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"Woburn Memorial High School, Woburn MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Kiwanis_Park_-_Woburn%2C_MA_-_DSC04133.JPG/120px-Kiwanis_Park_-_Woburn%2C_MA_-_DSC04133.JPG,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"Kiwanis Park - Woburn, MA - DSC04133","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",Daderot,,,,,,,,,,,,
Burlington,01803,0,3,2,74,0,956,4,1,42.5021,-71.2027,"Burlington is a town in Middlesex County, Massachusetts, United States. The population was 24,498 at the 2010 census. Burlington has six public schools (four elementary schools, one middle school, and one high school) which comprise the Burlington Public School District.  MBTA Bus routes 350, 351, 352 and 354 operated by the MBTA run through the town, as do Lowell Regional Transit Authority, Lexpress (Lexington), and B-Line (Burlington) buses. The closest MBTA 'T' subway stations are Alewife, Cambridge, 9 miles to the south-east (the station has a large parking garage) and Wellington Station, Medford, on the Orange Line, roughly 10 miles to the east (also has large parking garage). MBTA Commuter Rail and Logan Express services are available at the Anderson Regional Transportation Center in neighboring Woburn, about 3 miles to the east. Burlington has six public schools (four elementary schools, one middle school, and one high school) which comprise the Burlington Public School District. Burlington is also served by the Shawsheen Valley Technical High School. The town operates a Before and After School Program and offers an integrated preschool program. Burlington is also the home to a campus of Northeastern University.

",http://www.burlington.org/,,"https://en.wikipedia.org/wiki/Burlington,_Massachusetts","https://en.wikipedia.org/wiki/Burlington,_Massachusetts#/media/File:Burlington_Business_District.JPG",,"https://en.wikipedia.org/wiki/Burlington,_Massachusetts#/media/File:Town_Hall,_Burlington_MA.jpg",,54,1875,2050,2500,3100,3350,3825,4350,,-71.2027,42.5021,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Burlington_Business_District.JPG/120px-Burlington_Business_District.JPG,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Burlington Business District,"<a href=""//commons.wikimedia.org/wiki/User:Terageorge~commonswiki"" title=""User:Terageorge~commonswiki"">Terageorge~commonswiki</a>",Terageorge~commonswiki,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Town_Hall%2C_Burlington_MA.jpg/120px-Town_Hall%2C_Burlington_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Town Hall, Burlington MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42
Andover,01810,1,2,1,87,0,1318,4,6,42.6582,-71.1445,"The Town of Andover is located in Essex County in the northeastern part of Massachusetts, approximately 23 miles north of Boston. Located on the banks of the Merrimack River, Andover is bordered on the north by the cities of Lawrence and Methuen. Andover is bisected by 2 major highway systems, Routes 93 and 495, and a number of secondary roadways including Routes 28, 133, 114 and 125. Public transportation is available via two commuter rail service stations from Andover to the metropolitan Boston area provided by the Massachusetts Bay Transportation Authority, and a regional bus service provided by the Merrimack Valley Transit Authority. Widely regarded for its high quality schools and community spirit, Andover has evolved into a highly desirable community. In addition to offering a full range of housing options, from high-end single family homes, to low to moderate income rental and ownership opportunities, Andover's real estate market has been historically strong and resistant to economic downturns. The community's physical proximity to Boston, the Massachusetts seashore, and the White Mountains of New Hampshire, along with excellent major highway access, all contribute to its broad appeal.",https://andoverma.gov/260/About-Andover,,"https://en.wikipedia.org/wiki/Andover,_Massachusetts","https://commons.wikimedia.org/wiki/File:Looking_north_on_Main_St,_Andover_MA.jpg",https://commons.wikimedia.org/wiki/File:Andover_-_High_Street_-_geograph.org.uk_-_2191677.jpg,https://en.wikipedia.org/wiki/File:Andover_High_School_2019.png,,77,1475,1650,2000,2500,2650,3025,3450,,-71.1445,42.6582,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Andover_-_High_Street_-_geograph.org.uk_-_2191677.jpg/120px-Andover_-_High_Street_-_geograph.org.uk_-_2191677.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Andover - High Street - geograph.org.uk - 2191677,"<a rel=""nofollow"" class=""external text"" href=""https://www.geograph.org.uk/profile/1249"">Chris Talbot</a>",File Upload Bot (Magnus Manske),,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Looking_north_on_Main_St%2C_Andover_MA.jpg/120px-Looking_north_on_Main_St%2C_Andover_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Looking north on Main St, Andover MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Andover_High_School_2019.png/120px-Andover_High_School_2019.png,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Andover High School 2019,"<a href=""//commons.wikimedia.org/wiki/User:Babegriev"" title=""User:Babegriev"">Babegriev</a>",Babegriev
Billerica,01821,0,2,2,62,0,461,4,1,42.5496,-71.2501,"Billerica is a town in Middlesex County, Massachusetts. The population was 40,243 according to the 2010 census. MBTA Commuter Rail provides service from Boston's North Station with the North Billerica station on its Lowell Line. The southern portions of the town are also geographically close to the Wilmington (MBTA station) and the Anderson Regional Transportation Center in Woburn. The Lowell Regional Transit Authority provides bus service in parts of Billerica. Billerica Public Schools operate primary and secondary schools. The Billerica public school system consists of six elementary schools, two middle schools, and one high school. In addition, the town is home to a regional technical high school. Shawsheen Valley Technical Highschool.",https://www.town.billerica.ma.us/,,"https://en.wikipedia.org/wiki/Billerica,_Massachusetts#Education","https://commons.wikimedia.org/wiki/File:Howe_School,_Billerica_MA.jpg",,,"https://commons.wikimedia.org/wiki/File:Old_Talbot_Mills,_Billerica_MA.jpg",79,1000,1175,1450,1900,1925,2300,2500,,-71.2501,42.5496,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Old_Talbot_Mills%2C_Billerica_MA.jpg/120px-Old_Talbot_Mills%2C_Billerica_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Old Talbot Mills, Billerica MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Howe_School%2C_Billerica_MA.jpg/120px-Howe_School%2C_Billerica_MA.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Howe School, Billerica MA","<a href=""//commons.wikimedia.org/wiki/User:Faolin42"" title=""User:Faolin42"">John Phelan</a>",Faolin42,,,,,,
